usuario,item,rating
520,150100117,9
1343,150100117,60
2434,200311037,12
370,110200102,12
274,100201007,1
2393,200147038,6
3222,160208016,20
2224,100102010,88
159,100102010,1179
3905,100102010,13
734,100101008,20
576,230100101,1
2378,100201024,30
363,150100117,79
2506,100201024,100
381,160205015,1
817,160501016,3
414,150241051,4
165,120323062,5
2617,200110033,3
735,110200102,7
754,100600126,9
920,170213016,50
300,100201024,10
2917,100201007,820
442,100201024,223
806,100201007,21
3199,100102010,6
1607,170233016,2
1578,100750011,5
2491,100102010,70
388,100201024,2
364,100101009,52
868,150100117,47
1053,150100117,16
2506,160203016,2
3375,100101008,14
539,170214016,5
265,100102010,188
3281,100201024,344
3222,160205016,42
3884,100102010,20
1418,100201007,50
518,161000123,30
2434,200300139,16
652,150100117,5
654,100102010,844
3387,100201007,50
303,100221024,2
385,100201024,70
157,100221024,2
1595,100102010,10
363,110200102,40
1620,160130016,30
3199,140160016,6
3487,100101050,100
1524,100201007,135
270,100500111,3
296,140160016,129
2183,100101009,42
1578,100522011,1
1082,150100117,7
244,110200102,10
3261,100600126,16
901,160223016,10
944,100102010,4
385,100221024,2
1617,160500116,25
2942,100201007,30
271,110200102,125
1618,160110016,8
596,230100101,1
3799,250261038,2
1538,200221039,1
381,200111037,2
805,110200102,20
2211,100102010,100
165,160801061,1
1088,100102010,75
2339,100201007,40
688,250201033,8
878,140160016,40
659,100101009,25
2721,100221024,1
2350,110200102,2
2351,150100117,20
591,100201024,200
3884,100201007,5
411,100201007,1201
2617,160208016,35
384,150100117,37
3497,100102010,40
1398,160520016,50
165,170711039,10
838,100201024,297
1278,110200102,2
376,100600126,10
2336,100102010,400
2438,100201007,42
402,140200130,1
381,160201015,2
3220,100610026,2
535,110200102,65
626,230100101,1
1192,110200102,34
1398,190340011,12
1667,100750011,7
125,140160016,10
2651,100201024,180
408,100102010,3
859,100101008,85
425,150100117,45
3017,100201024,130
283,100201007,30
3870,100750011,2
1094,100101008,58
1244,100610024,10
901,100403042,2
1909,110200102,13
2768,100201007,131
1405,100102010,85
1270,100101059,15
579,150100117,40
288,200211033,12
3196,100201007,60
72,160211016,2
3125,100201007,11
340,100102010,5
913,100102010,3
1916,140160016,11
3813,110200102,10
158,100101009,318
2690,100101008,23
3858,100201007,26
415,100201007,62
1474,100201007,60
327,150300111,151
1524,200232039,20
1524,100101008,180
2824,100101008,50
648,100101008,40
1909,160217016,10
590,230100101,1
400,110200102,34
3884,110200102,1
248,150100117,12
1949,180220033,12
269,100102010,43
1607,170214016,100
1184,250201033,3
2393,160203016,56
2945,110200102,40
288,160203015,1
617,100201007,100
2183,100600126,7
2336,100201007,50
874,100101009,70
646,100101009,17
442,150100117,29
1524,100201024,20
805,100221024,2
4087,100201024,100
325,160520023,24
616,100101009,49
610,150100117,9
3799,200145038,2
3631,150300163,9
920,160100116,1
713,140160016,10
3496,100201007,12
476,100201024,30
807,100221024,16
1899,100101008,30
2351,100101009,27
1595,100101009,6
4023,100201066,500
158,100101064,500
626,100201007,40
3501,100221024,8
838,200232033,5
547,100201007,125
3393,100600126,10
1919,200105033,11
345,110200102,65
2646,100102010,100
3556,150100117,18
1192,150200113,36
2382,150241051,3
1720,110200102,1
352,200132037,3
806,100102010,12
429,200147038,1
668,110200102,19
1405,100610026,6
2866,100101050,91
1526,100201007,450
853,100522011,3
3278,110200163,5
1517,100102010,240
2854,100221024,2
1904,100101008,50
303,100101008,3
2024,161020023,8
1473,100101009,20
1182,120323062,12
4105,100231066,30
250,100221024,1
400,160100115,1
1405,100610024,6
2387,110200102,16
248,100610024,10
566,100221024,2
2404,100201024,115
165,100102010,5
2350,100600126,1
459,100201007,40
2439,100101031,15
260,100101008,180
1069,100221024,3
1182,250125037,7
2801,100102010,20
2393,100221024,3
617,100102010,173
573,100221024,2
79,100221024,4
1393,100600126,4
165,200130033,9
1405,160201016,9
279,110200102,1
2068,100101009,9
754,100201007,220
4164,100201024,90
2786,100201007,35
3667,100201024,31
248,100221024,10
3382,100600126,15
573,100600126,93
2085,170200116,12
2641,100102010,10
637,150100117,15
2619,100201066,34
2387,160218016,5
130,100610024,14
327,100102010,10
418,150100117,4
566,110200102,36
2647,100221024,1
578,230100101,1
1405,170213016,50
158,100620029,4
3281,100600126,35
2942,100201024,50
1001,160201016,1
2267,100201007,15
536,100201007,266
2492,100201007,6
2355,100221024,4
877,100101009,12
3215,100231066,300
3855,100201024,130
3496,100101006,1
2227,100201007,150
2828,100101031,20
733,100201007,30
311,100201024,63
808,100750011,30
1456,150100117,14
3657,100122011,12
272,100101009,70
1285,100600126,13
579,100201007,50
741,150100117,14
254,160207016,4
2610,100102010,100
1544,160100116,20
1909,100101009,8
444,110200102,7
2339,100101009,70
1285,150100117,7
311,100201007,31
259,110200102,6
381,170233016,1
312,160110016,4
2824,260100134,2
311,100101009,38
718,110200102,2
423,140121067,20
402,150100117,18
2641,100101009,10
1456,150310011,2
407,110200102,2
244,100221024,4
2331,100102010,90
1909,160110016,3
3241,100101008,258
2782,110200102,4
311,100610024,3
777,190340011,12
2259,100102010,70
3017,100101050,100
3730,150100117,19
2071,190340011,11
369,100201024,52
3112,110200102,30
3393,100201024,60
721,100101008,27
158,100600126,6
4022,100201024,90
